params_freq,params_propdec,params_thresh,params_time,user_attrs_accuracy
6,0.30000000000000004,2.6,10,0.9907
7,0.30000000000000004,2.4,5,0.9815
10,0.2,2.9,7,0.9537
8,0.5,3.0,8,0.9907
5,0.1,2.3,7,0.9815
5,0.1,2.8,7,0.9167
7,0.2,2.0,5,0.9537
6,0.2,2.5,8,0.9907
5,0.2,2.1,6,0.963
9,0.2,2.9,9,0.963
8,0.4,2.7,10,0.9352
6,0.30000000000000004,2.6,10,0.9352
6,0.4,2.4,9,0.9352
6,0.4,2.6,9,0.9259
6,0.30000000000000004,2.2,8,0.9352
7,0.1,2.5,10,0.963
6,0.5,2.6,8,0.9537
7,0.2,2.4,9,0.963
5,0.30000000000000004,2.7,6,0.963
8,0.4,2.5,10,0.9352
9,0.2,2.3,6,0.9722
8,0.5,3.0,8,0.963
9,0.5,3.0,8,0.9352
8,0.4,2.8,9,0.9815
7,0.5,2.7,8,0.9444
6,0.1,2.8,7,0.9352
10,0.30000000000000004,2.3,9,0.963
7,0.4,2.9,8,0.963
8,0.2,2.5,10,0.963
7,0.30000000000000004,2.2,5,0.9444
9,0.5,2.5,7,0.9722
5,0.1,2.3,7,0.9907
5,0.1,2.2,6,0.9537
5,0.1,2.4,7,0.9259
6,0.1,2.1,7,0.9444
5,0.2,2.3,8,0.9907
5,0.2,2.6,7,0.963
6,0.1,2.0,6,0.75
5,0.2,2.9,7,0.9259
7,0.30000000000000004,2.4,8,0.8981
10,0.1,2.1,9,0.9537
5,0.2,2.3,8,0.9907
5,0.2,2.3,8,0.8148
6,0.2,2.2,9,0.963
5,0.30000000000000004,2.3,7,0.9815
6,0.1,2.8,8,0.963
5,0.2,2.4,8,0.9352
6,0.30000000000000004,2.5,9,0.9537
6,0.4,2.6,10,0.9444
5,0.2,2.7,7,0.963
8,0.4,2.2,5,0.963
5,0.2,2.3,8,0.9722
5,0.2,2.1,8,0.9722
5,0.2,2.4,9,0.9537
5,0.1,2.3,8,0.8981
6,0.30000000000000004,2.2,8,0.963
5,0.2,2.9,7,0.9352
6,0.1,2.4,8,0.9722
7,0.30000000000000004,2.6,6,0.9352
8,0.4,2.5,10,0.9444
9,0.2,2.3,9,0.963
5,0.1,3.0,7,0.9722
5,0.1,2.3,7,0.9722
5,0.1,2.2,6,0.9537
6,0.5,2.4,8,0.9259
5,0.2,2.1,7,0.963
8,0.1,2.3,8,0.963
7,0.1,2.7,9,0.9259
5,0.2,2.0,7,0.9444
6,0.30000000000000004,2.2,8,0.9815
5,0.5,2.8,7,0.9537
8,0.4,3.0,9,0.9907
8,0.4,3.0,10,0.9815
8,0.5,3.0,9,0.8796
9,0.4,2.4,8,0.7222
8,0.30000000000000004,2.9,9,0.9722
7,0.5,2.9,10,0.9537
5,0.2,3.0,8,0.9907
5,0.2,3.0,8,0.9444
8,0.2,3.0,8,0.9722
6,0.2,2.9,8,0.9167
5,0.2,2.5,8,0.963
5,0.4,3.0,7,0.8704
5,0.30000000000000004,2.3,9,0.9722
5,0.1,2.8,8,0.9352
7,0.2,3.0,7,0.9907
7,0.2,3.0,9,0.963
8,0.2,2.9,7,0.9352
7,0.2,3.0,8,0.963
6,0.30000000000000004,3.0,10,0.9722
9,0.2,2.9,8,0.9537
5,0.2,2.3,7,0.9907
5,0.2,2.3,7,0.963
6,0.2,2.7,7,0.8889
5,0.2,2.3,7,0.8981
8,0.2,2.2,7,0.787
7,0.2,2.4,8,0.9907
7,0.4,2.5,8,0.9815
7,0.30000000000000004,2.4,8,0.9352
7,0.2,2.4,8,0.75
